Rank,Release Group,Worldwide,Domestic,%,Foreign,%
227,Inside the Rain,"$8,140","$8,140",100%,-,-
228,The Wave,"$8,101","$8,101",100%,-,-
229,I AM PATRICK,"$7,880",-,-,"$7,880",100%
230,Tar,"$7,796","$7,796",100%,-,-
231,Valley Girl,"$7,671",-,-,"$7,671",100%
232,I Am Lisa,"$6,986","$6,986",100%,-,-
233,What We Found,"$6,976","$6,976",100%,-,-
234,Dreaming Grand Avenue,"$6,789","$6,789",100%,-,-
235,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
236,Human Capital,"$6,596","$6,596",100%,-,-
237,Afterward,"$6,477","$6,477",100%,-,-
238,12 Hour Shift,"$6,057","$6,057",100%,-,-
239,In the Life of Music,"$5,772","$5,772",100%,-,-
240,Sex and the Future,"$5,745","$5,745",100%,-,-
241,Still Here,"$5,268","$5,268",100%,-,-
242,Lie Exposed,"$4,890","$4,890",100%,-,-
243,Ottolenghi and the Cakes of Versailles,"$4,396","$4,396",100%,-,-
244,Find Your Voice,"$4,119","$4,119",100%,-,-
245,King's Gambit,"$3,816","$3,816",100%,-,-
246,The Trial of the Chicago 7,"$3,084",-,-,"$3,084",100%
247,Moondance,"$2,371","$2,371",100%,-,-
248,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
249,Goldie,"$2,302","$2,302",100%,-,-
250,The Transcendents,"$2,041","$2,041",100%,-,-
251,Gul Makai,"$2,035",-,-,"$2,035",100%
252,The Fox Hunter,"$1,577","$1,577",100%,-,-
253,Fear Pharm,"$1,157","$1,157",100%,-,-
254,Hai Tang Hong,"$1,107","$1,107",100%,-,-
255,Greater 2020 Re-release,$527,$527,100%,-,-
256,Spaceship Earth,$362,-,-,$362,100%
